"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARATFIN","EQ","10-Oct-2016","        882.20","        890.00","        890.15","        869.00","        872.55","        872.75","        876.18","     625290","           547864153.50","      29450","     270228","         43.22"
"BHARATFIN","EQ","13-Oct-2016","        872.75","        869.65","        888.00","        852.95","        882.75","        881.80","        871.05","    1377886","          1200211406.90","      35252","     423380","         30.73"
"BHARATFIN","EQ","14-Oct-2016","        881.80","        884.95","        898.80","        882.85","        895.00","        893.85","        892.65","     864759","           771928830.55","      20976","     224023","         25.91"
"BHARATFIN","EQ","17-Oct-2016","        893.85","        900.00","        909.00","        861.40","        870.15","        868.50","        887.31","    1491249","          1323200013.30","      47002","     508489","         34.10"
"BHARATFIN","EQ","18-Oct-2016","        868.50","        878.90","        904.80","        874.00","        899.65","        900.65","        890.40","     949752","           845661368.10","      30815","     352688","         37.13"
"BHARATFIN","EQ","19-Oct-2016","        900.65","        905.00","        906.40","        884.00","        890.00","        890.00","        894.16","    1068288","           955219879.45","      27035","     525173","         49.16"
"BHARATFIN","EQ","20-Oct-2016","        890.00","        895.00","        922.85","        892.65","        914.70","        917.90","        911.05","    1305914","          1189755510.75","      26039","     432178","         33.09"
"BHARATFIN","EQ","21-Oct-2016","        917.90","        919.95","        927.50","        910.20","        914.10","        919.80","        920.85","    1194425","          1099883163.85","      31249","     443269","         37.11"
"BHARATFIN","EQ","24-Oct-2016","        919.80","        919.65","        926.40","        905.05","        912.00","        909.50","        916.47","    1245481","          1141440326.55","      30538","     602191","         48.35"
"BHARATFIN","EQ","25-Oct-2016","        909.50","        912.65","        918.45","        897.70","        911.60","        912.70","        905.70","     918554","           831935308.15","      31930","     427224","         46.51"
"BHARATFIN","EQ","26-Oct-2016","        912.70","        908.00","        921.00","        900.00","        902.50","        905.80","        910.47","     820531","           747066432.45","      14719","     357094","         43.52"
"BHARATFIN","EQ","27-Oct-2016","        905.80","        901.70","        904.95","        872.70","        883.25","        879.15","        882.53","    2297531","          2027634876.15","      55256","    1265354","         55.07"
"BHARATFIN","EQ","28-Oct-2016","        879.15","        881.00","        893.60","        872.40","        880.50","        882.55","        884.91","    1144133","          1012451830.20","      29577","     532525","         46.54"
"BHARATFIN","EQ","30-Oct-2016","        882.55","        899.00","        899.00","        880.25","        881.65","        884.20","        887.62","     262137","           232678473.90","       5361","      72327","         27.59"
"BHARATFIN","EQ","01-Nov-2016","        884.20","        891.75","        894.70","        850.00","        851.00","        852.20","        868.83","    2106223","          1829958975.85","      62105","     913698","         43.38"
"BHARATFIN","EQ","02-Nov-2016","        852.20","        843.70","        843.70","        813.35","        818.00","        817.85","        827.77","    1290167","          1067966553.10","      36543","     438695","         34.00"
"BHARATFIN","EQ","03-Nov-2016","        817.85","        821.00","        843.00","        821.00","        830.30","        831.15","        833.70","    1137748","           948538101.40","      31261","     316895","         27.85"
"BHARATFIN","EQ","04-Nov-2016","        831.15","        832.85","        832.85","        783.60","        800.00","        797.85","        799.95","    1304449","          1043496074.40","      30239","     239949","         18.39"
"BHARATFIN","EQ","07-Nov-2016","        797.85","        803.25","        828.35","        803.25","        815.25","        818.80","        820.47","    1066267","           874844570.90","      33897","     422023","         39.58"
"BHARATFIN","EQ","08-Nov-2016","        818.80","        821.95","        829.50","        804.60","        823.15","        826.10","        818.00","     844462","           690766712.15","      36474","     336797","         39.88"
"BHARATFIN","EQ","09-Nov-2016","        826.10","        743.50","        781.90","        660.90","        771.00","        770.50","        735.05","    4829798","          3550147365.80","      76490","    2110196","         43.69"
"BHARATFIN","EQ","10-Nov-2016","        770.50","        795.00","        802.40","        730.10","        734.00","        741.30","        762.20","    3991578","          3042400535.90","      86476","    1981972","         49.65"
